tpep_pickup_date;tpep_pickup_hour;region;count
2015-06-25;4;1230;134
2015-06-25;5;1230;141
2015-06-25;6;1230;352
2015-06-25;7;1230;659
2015-06-25;8;1230;902
2015-06-25;9;1230;969
2015-06-25;10;1230;1032
2015-06-25;11;1230;1147
2015-06-25;12;1230;1156
2015-06-25;13;1230;1126
2015-06-25;14;1230;1064
2015-06-25;15;1230;834
2015-06-25;16;1230;606
2015-06-25;17;1230;658
2015-06-25;18;1230;917
2015-06-25;19;1230;826
2015-06-25;20;1230;784
2015-06-25;21;1230;854
2015-06-25;22;1230;812
2015-06-25;23;1230;980
2015-06-26;0;1230;928
2015-06-26;1;1230;552
2015-06-26;2;1230;343
2015-06-26;3;1230;232
2015-06-26;4;1230;166
2015-06-26;5;1230;171
2015-06-26;6;1230;332
2015-06-26;7;1230;535
2015-06-26;8;1230;779
2015-06-26;9;1230;868
2015-06-26;10;1230;904
2015-06-26;11;1230;1026
2015-06-26;12;1230;984
2015-06-26;13;1230;889
2015-06-26;14;1230;883
2015-06-26;15;1230;777
2015-06-26;16;1230;607
2015-06-26;17;1230;639
2015-06-26;18;1230;884
2015-06-26;19;1230;1123
2015-06-26;20;1230;1042
2015-06-26;21;1230;1112
2015-06-26;22;1230;1119
2015-06-26;23;1230;974
2015-06-27;0;1230;965
2015-06-27;1;1230;747
2015-06-27;2;1230;568
2015-06-27;3;1230;392
2015-06-27;4;1230;348
2015-06-27;5;1230;176
2015-06-27;6;1230;200
2015-06-27;7;1230;230
2015-06-27;8;1230;318
2015-06-27;9;1230;520
2015-06-27;10;1230;647
2015-06-27;11;1230;795
2015-06-27;12;1230;830
2015-06-27;13;1230;820
2015-06-27;14;1230;819
2015-06-27;15;1230;937
2015-06-27;16;1230;777
2015-06-27;17;1230;738
2015-06-27;18;1230;909
2015-06-27;19;1230;958
2015-06-27;20;1230;874
2015-06-27;21;1230;981
2015-06-27;22;1230;973
2015-06-27;23;1230;964
2015-06-28;0;1230;831
2015-06-28;1;1230;700
2015-06-28;2;1230;511
2015-06-28;3;1230;372
2015-06-28;4;1230;260
2015-06-28;5;1230;152
2015-06-28;6;1230;125
2015-06-28;7;1230;187
2015-06-28;8;1230;301
2015-06-28;9;1230;486
2015-06-28;10;1230;667
2015-06-28;11;1230;583
2015-06-28;12;1230;544
2015-06-28;13;1230;452
2015-06-28;14;1230;445
2015-06-28;15;1230;435
2015-06-28;16;1230;412
2015-06-28;17;1230;428
2015-06-28;18;1230;517
2015-06-28;19;1230;737
2015-06-28;20;1230;726
2015-06-28;21;1230;863
2015-06-28;22;1230;724
2015-06-28;23;1230;603
2015-06-29;0;1230;414
2015-06-29;1;1230;265
2015-06-29;2;1230;141
2015-06-29;3;1230;110
2015-06-29;4;1230;117
2015-06-29;5;1230;121
2015-06-29;6;1230;314
2015-06-29;7;1230;521
2015-06-29;8;1230;787
2015-06-29;9;1230;969
2015-06-29;10;1230;975
2015-06-29;11;1230;895
2015-06-29;12;1230;996
2015-06-29;13;1230;999
2015-06-29;14;1230;929
2015-06-29;15;1230;877
2015-06-29;16;1230;735
2015-06-29;17;1230;774
2015-06-29;18;1230;1078
2015-06-29;19;1230;1234
2015-06-29;20;1230;1068
2015-06-29;21;1230;1109
2015-06-29;22;1230;1018
2015-06-29;23;1230;848
2015-06-30;0;1230;592
2015-06-30;1;1230;260
2015-06-30;2;1230;142
2015-06-30;3;1230;88
2015-06-30;4;1230;93
2015-06-30;5;1230;110
2015-06-30;6;1230;363
2015-06-30;7;1230;519
2015-06-30;8;1230;910
2015-06-30;9;1230;1108
2015-06-30;10;1230;996
2015-06-30;11;1230;1106
2015-06-30;12;1230;1109
2015-06-30;13;1230;1123
2015-06-30;14;1230;1085
2015-06-30;15;1230;979
2015-06-30;16;1230;651
2015-06-30;17;1230;661
2015-06-30;18;1230;848
2015-06-30;19;1230;1092
2015-06-30;20;1230;1009
2015-06-30;21;1230;988
2015-06-30;22;1230;997
2015-06-30;23;1230;904
